frame,time_s,x_px,y_px,area_px,detected
0,0.000000,278.92,878.11,5235.0,True
1,0.016632,286.66,879.99,4930.5,True
2,0.033264,286.31,879.89,4910.0,True
3,0.049896,286.29,879.83,4904.5,True
4,0.066528,287.02,880.12,4980.0,True
5,0.083160,286.14,880.93,4914.0,True
6,0.099792,286.29,881.78,4901.0,True
7,0.116425,286.47,882.56,4863.0,True
8,0.133057,287.33,882.70,4940.5,True
9,0.149689,287.34,882.74,4954.5,True
10,0.166321,287.98,882.68,4976.0,True
11,0.182953,288.03,881.95,4911.0,True
12,0.199585,288.21,881.16,4962.5,True
13,0.216217,287.58,880.71,4904.5,True
14,0.232849,287.50,880.48,4924.0,True
15,0.249481,287.45,880.37,4917.0,True
16,0.266113,287.19,880.37,4903.5,True
17,0.282745,287.15,880.51,4908.0,True
18,0.299377,286.73,881.08,4870.5,True
19,0.316009,286.98,881.29,4877.5,True
20,0.332641,286.50,881.65,4850.5,True
21,0.349274,286.43,881.78,4851.5,True
22,0.365906,286.46,881.78,4847.5,True
23,0.382538,286.78,881.70,4900.5,True
24,0.399170,286.72,881.15,4847.0,True
25,0.415802,286.60,880.77,4852.5,True
26,0.432434,286.69,880.50,4866.0,True
27,0.449066,286.93,880.30,4899.0,True
28,0.465698,286.61,880.29,4864.5,True
29,0.482330,287.39,880.28,4902.5,True
30,0.498962,287.63,880.31,4925.5,True
31,0.515594,287.71,880.70,4905.0,True
32,0.532226,289.89,881.01,4875.0,True
33,0.548858,291.37,881.34,4884.5,True
34,0.565490,293.16,881.82,4930.5,True
35,0.582123,295.17,881.99,4986.5,True
36,0.598755,298.36,882.21,4988.0,True
37,0.615387,301.38,882.14,4932.5,True
38,0.632019,306.74,881.91,5004.0,True
39,0.648651,316.06,881.30,5102.5,True
40,0.665283,326.68,880.64,5184.0,True
41,0.681915,339.55,880.33,5186.5,True
42,0.698547,354.95,880.20,5170.5,True
43,0.715179,372.03,879.72,5260.5,True
44,0.731811,390.80,878.89,5203.0,True
45,0.748443,409.96,878.43,5152.0,True
46,0.765075,428.54,877.73,5125.5,True
47,0.781707,447.38,877.26,5156.0,True
48,0.798339,465.43,876.38,5135.0,True
49,0.814972,484.59,875.89,5160.0,True
50,0.831604,503.40,875.75,5141.5,True
51,0.848236,521.92,876.06,5156.5,True
52,0.864868,539.65,877.03,5157.0,True
53,0.881500,556.67,878.43,5170.5,True
54,0.898132,572.84,880.10,5233.0,True
55,0.914764,589.23,882.09,5192.0,True
56,0.931396,604.37,884.17,5197.5,True
57,0.948028,619.38,886.34,5139.5,True
58,0.964660,632.44,888.45,5079.0,True
59,0.981292,643.58,890.39,4966.0,True
60,0.997924,652.07,892.33,4884.5,True
61,1.014556,659.50,894.37,4863.5,True
62,1.031189,666.38,896.01,4865.5,True
63,1.047821,672.56,897.71,4873.5,True
64,1.064453,677.28,899.83,4886.0,True
65,1.081085,681.49,901.88,4871.0,True
66,1.097717,685.15,904.08,4920.0,True
67,1.114349,690.21,906.14,4814.5,True
68,1.130981,696.57,908.15,4837.0,True
69,1.147613,702.71,909.74,4825.5,True
70,1.164245,709.81,911.19,4865.0,True
71,1.180877,717.91,912.49,4854.0,True
72,1.197509,727.76,913.90,5047.5,True
73,1.214141,740.94,914.46,5046.5,True
74,1.230773,755.09,915.40,5112.0,True
75,1.247405,768.34,915.88,5178.0,True
76,1.264038,780.91,916.15,5077.0,True
77,1.280670,792.83,917.36,5077.0,True
78,1.297302,804.15,918.33,5126.0,True
79,1.313934,815.59,919.51,5075.0,True
80,1.330566,824.91,920.23,5062.0,True
81,1.347198,835.10,921.12,5007.0,True
82,1.363830,843.06,921.78,4942.0,True
83,1.380462,850.94,922.53,4985.5,True
84,1.397094,858.26,923.37,5007.5,True
85,1.413726,866.58,924.04,4954.5,True
86,1.430358,874.35,924.29,4966.0,True
87,1.446990,881.31,924.83,4889.0,True
88,1.463622,887.86,925.14,4851.5,True
89,1.480254,893.84,925.75,4898.0,True
90,1.496887,901.44,926.51,4945.5,True
91,1.513519,908.81,926.96,5002.5,True
92,1.530151,918.31,927.56,4991.5,True
93,1.546783,928.36,928.09,5088.0,True
94,1.563415,938.68,928.66,5062.5,True
95,1.580047,949.15,929.23,5034.5,True
96,1.596679,958.55,929.74,5041.0,True
97,1.613311,967.67,929.92,5002.0,True
98,1.629943,975.89,930.00,5004.5,True
99,1.646575,983.62,929.87,4851.0,True
100,1.663207,988.76,929.93,4850.5,True
101,1.679839,992.76,929.80,4852.0,True
102,1.696471,997.18,929.61,4842.5,True
103,1.713104,999.91,929.56,4743.5,True
104,1.729736,1000.02,929.74,4784.0,True
105,1.746368,999.98,929.74,4797.5,True
106,1.763000,999.45,929.77,4832.5,True
107,1.779632,999.48,929.81,4839.0,True
108,1.796264,999.58,929.92,4869.0,True
109,1.812896,999.72,929.82,4869.0,True
110,1.829528,999.83,929.72,4873.0,True
111,1.846160,1000.09,929.54,4867.0,True
112,1.862792,999.92,929.29,4874.0,True
113,1.879424,999.74,929.38,4862.0,True
114,1.896056,999.27,929.46,4852.0,True
115,1.912688,998.51,929.50,4842.0,True
116,1.929320,997.35,929.54,4851.0,True
117,1.945953,996.25,929.57,4875.0,True
118,1.962585,993.62,929.32,4817.5,True
119,1.979217,991.66,929.16,4884.0,True
120,1.995849,988.97,928.51,4841.5,True
121,2.012481,986.42,928.24,4834.0,True
122,2.029113,984.29,928.03,4846.0,True
123,2.045745,981.36,927.65,4840.5,True
124,2.062377,978.17,927.23,4831.5,True
125,2.079009,973.73,926.63,4865.5,True
126,2.095641,969.50,926.15,4884.0,True
127,2.112273,965.28,925.69,4859.5,True
128,2.128905,961.36,925.19,4872.5,True
129,2.145537,956.07,924.29,4900.0,True
130,2.162169,950.48,923.44,4919.0,True
131,2.178802,945.06,922.81,4827.0,True
132,2.195434,939.28,921.99,4913.5,True
133,2.212066,936.05,921.67,4854.0,True
134,2.228698,931.94,921.16,4888.5,True
135,2.245330,928.60,920.83,4807.0,True
136,2.261962,923.17,920.45,4920.0,True
137,2.278594,917.53,919.95,4945.0,True
138,2.295226,912.37,918.60,4877.5,True
139,2.311858,906.50,917.43,4924.0,True
140,2.328490,899.71,915.91,4949.0,True
141,2.345122,892.26,913.78,4891.5,True
142,2.361754,883.38,911.72,4938.5,True
143,2.378386,873.96,909.23,4951.5,True
144,2.395018,864.20,906.67,5009.0,True
145,2.411651,854.37,904.34,5035.0,True
146,2.428283,843.70,901.95,5029.5,True
147,2.444915,833.89,899.45,5069.5,True
148,2.461547,823.53,896.96,5116.5,True
149,2.478179,814.77,894.09,5006.5,True
150,2.494811,805.14,891.48,5036.5,True
151,2.511443,797.00,888.36,5019.5,True
152,2.528075,788.46,885.21,4965.5,True
153,2.544707,778.39,881.67,5031.0,True
154,2.561339,767.64,878.00,5065.5,True
155,2.577971,754.90,874.16,5145.0,True
156,2.594603,741.27,870.75,5190.5,True
157,2.611235,726.07,867.85,5192.0,True
158,2.627868,710.26,864.44,5190.0,True
159,2.644500,693.27,861.53,5266.5,True
160,2.661132,676.23,858.32,5219.0,True
161,2.677764,658.08,855.76,5174.5,True
162,2.694396,640.48,853.54,5224.0,True
163,2.711028,622.64,851.67,5122.5,True
164,2.727660,605.32,849.92,5116.5,True
165,2.744292,589.07,848.11,5134.5,True
166,2.760924,572.75,846.48,5117.0,True
167,2.777556,557.61,845.00,5112.0,True
168,2.794188,543.28,843.78,5157.0,True
169,2.810820,528.75,841.91,5116.5,True
170,2.827452,514.78,840.45,5054.5,True
171,2.844084,500.86,838.98,5071.0,True
172,2.860717,487.16,837.26,5074.5,True
173,2.877349,473.64,835.56,5071.0,True
174,2.893981,460.09,834.12,5092.5,True
175,2.910613,446.36,832.74,5115.0,True
176,2.927245,433.13,831.37,5099.0,True
177,2.943877,419.10,829.92,5093.0,True
178,2.960509,404.45,828.85,5100.5,True
179,2.977141,390.65,828.14,5095.5,True
180,2.993773,378.03,827.45,5164.0,True
181,3.010405,365.64,826.89,5116.5,True
182,3.027037,354.43,826.67,5021.0,True
183,3.043669,344.75,826.39,4971.5,True
184,3.060301,335.75,826.57,4982.0,True
185,3.076933,328.59,826.72,5037.5,True
186,3.093566,322.47,826.98,5086.5,True
187,3.110198,317.36,827.38,5127.0,True
188,3.126830,312.93,827.51,5047.5,True
189,3.143462,308.90,827.42,5009.0,True
190,3.160094,305.50,827.52,5072.0,True
191,3.176726,301.26,827.31,5002.0,True
192,3.193358,297.33,827.56,5013.0,True
193,3.209990,293.01,828.06,5019.5,True
194,3.226622,288.27,828.53,5022.0,True
195,3.243254,282.43,829.15,5033.0,True
196,3.259886,276.62,829.62,5088.5,True
197,3.276518,272.69,830.10,5139.0,True
198,3.293150,267.92,830.55,5088.0,True
199,3.309782,265.30,830.99,5146.0,True
200,3.326415,262.89,831.36,5136.0,True
201,3.343047,260.20,831.79,5159.5,True
202,3.359679,256.76,832.27,5168.0,True
203,3.376311,251.60,832.50,5037.0,True
204,3.392943,247.31,832.73,5018.0,True
205,3.409575,242.97,832.65,5023.0,True
206,3.426207,238.36,832.57,5158.5,True
207,3.442839,232.79,832.21,5211.5,True
208,3.459471,226.53,831.63,5176.0,True
209,3.476103,219.85,830.69,5177.5,True
210,3.492735,211.73,830.26,5288.5,True
211,3.509367,202.77,829.21,5305.0,True
212,3.525999,193.08,828.41,5306.0,True
213,3.542632,182.36,827.75,5316.5,True
214,3.559264,172.29,826.74,5301.0,True
215,3.575896,161.68,826.11,5343.5,True
216,3.592528,150.85,826.04,5340.5,True
217,3.609160,140.68,825.85,5404.5,True
218,3.625792,131.91,825.26,5379.0,True
219,3.642424,124.39,824.33,5340.0,True
220,3.659056,118.64,823.86,5419.0,True
221,3.675688,114.01,822.98,5423.0,True
222,3.692320,109.04,822.03,5333.0,True
223,3.708952,105.39,821.49,5460.5,True
224,3.725584,102.94,820.81,5438.0,True
225,3.742216,101.05,820.48,5436.0,True
226,3.758848,99.45,820.21,5497.5,True
227,3.775481,98.96,819.88,5451.0,True
228,3.792113,98.60,819.78,5453.0,True
229,3.808745,98.31,819.71,5427.0,True
230,3.825377,98.31,819.65,5389.5,True
231,3.842009,98.45,819.67,5410.5,True
232,3.858641,98.30,819.74,5422.5,True
233,3.875273,98.28,819.58,5419.5,True
234,3.891905,98.14,819.60,5434.0,True
235,3.908537,97.89,819.50,5393.5,True
236,3.925169,97.92,819.44,5394.5,True
237,3.941801,98.07,819.55,5402.5,True
238,3.958433,98.09,819.58,5414.5,True
239,3.975065,98.13,819.48,5404.0,True
240,3.991697,98.47,819.56,5443.5,True
241,4.008330,98.43,819.49,5444.5,True
242,4.024962,98.34,819.62,5471.5,True
243,4.041594,98.53,819.53,5471.0,True
244,4.058226,98.37,819.59,5475.5,True
245,4.074858,98.73,819.42,5500.0,True
246,4.091490,99.34,819.33,5495.5,True
247,4.108122,100.34,819.08,5487.5,True
248,4.124754,101.21,818.83,5470.5,True
249,4.141386,101.14,818.98,5491.0,True
250,4.158018,101.01,818.93,5473.0,True
251,4.174650,101.57,818.81,5490.0,True
252,4.191282,102.89,818.57,5478.5,True
253,4.207914,104.82,818.42,5487.0,True
254,4.224546,107.34,818.01,5503.0,True
255,4.241179,110.71,817.33,5459.0,True
256,4.257811,115.17,816.47,5431.0,True
257,4.274443,120.66,815.78,5396.0,True
258,4.291075,126.46,815.29,5358.0,True
259,4.307707,132.57,814.80,5469.5,True
260,4.324339,140.18,814.19,5534.5,True
261,4.340971,148.10,813.17,5436.0,True
262,4.357603,157.14,812.55,5497.0,True
263,4.374235,166.39,812.23,5483.0,True
264,4.390867,176.95,812.00,5536.0,True
265,4.407499,187.57,811.28,5521.0,True
266,4.424131,199.34,810.90,5576.0,True
267,4.440763,212.09,810.19,5511.0,True
268,4.457396,224.89,810.31,5565.5,True
269,4.474028,237.69,810.22,5501.5,True
270,4.490660,251.09,810.53,5608.0,True
271,4.507292,264.07,810.22,5602.0,True
272,4.523924,277.50,809.82,5532.0,True
273,4.540556,291.22,809.81,5552.5,True
274,4.557188,304.41,809.44,5527.0,True
275,4.573820,317.15,809.69,5530.5,True
276,4.590452,329.36,809.80,5551.5,True
277,4.607084,340.92,809.60,5520.5,True
278,4.623716,352.89,809.59,5489.5,True
279,4.640348,363.79,810.06,5501.0,True
280,4.656980,373.80,810.15,5419.0,True
281,4.673612,383.60,811.04,5426.0,True
282,4.690245,393.37,811.65,5348.5,True
283,4.706877,402.37,812.08,5244.0,True
284,4.723509,411.85,813.12,5316.5,True
285,4.740141,421.26,813.69,5339.0,True
286,4.756773,430.67,813.81,5319.0,True
287,4.773405,439.89,814.51,5310.0,True
288,4.790037,448.94,814.77,5353.0,True
289,4.806669,459.34,815.98,5520.0,True
290,4.823301,467.24,816.40,5360.0,True
291,4.839933,477.40,817.24,5440.5,True
292,4.856565,487.37,817.84,5450.0,True
293,4.873197,497.18,818.42,5386.0,True
294,4.889829,507.30,819.36,5475.5,True
295,4.906461,517.89,820.33,5463.0,True
296,4.923094,527.72,820.96,5479.5,True
297,4.939726,537.65,822.27,5421.5,True
298,4.956358,548.61,823.70,5407.0,True
299,4.972990,558.67,824.93,5389.0,True
300,4.989622,570.63,826.56,5465.5,True
301,5.006254,581.91,827.95,5435.0,True
302,5.022886,592.69,829.61,5420.0,True
303,5.039518,603.66,831.32,5472.0,True
304,5.056150,614.98,832.83,5476.0,True
305,5.072782,626.20,834.26,5428.5,True
306,5.089414,636.38,835.47,5313.5,True
307,5.106046,647.21,836.74,5270.5,True
308,5.122678,657.19,838.11,5208.5,True
309,5.139311,667.53,839.53,5359.0,True
310,5.155943,677.41,841.27,5364.0,True
311,5.172575,687.74,841.90,5225.0,True
312,5.189207,697.54,843.13,5258.5,True
313,5.205839,707.01,844.00,5178.5,True
314,5.222471,716.37,845.24,5282.5,True
315,5.239103,725.92,846.28,5239.0,True
316,5.255735,735.14,847.30,5328.0,True
317,5.272367,744.90,847.65,5287.5,True
318,5.288999,754.39,848.87,5360.5,True
319,5.305631,764.31,849.94,5282.0,True
320,5.322263,775.51,851.21,5223.5,True
321,5.338895,786.71,852.60,5220.5,True
322,5.355527,797.63,854.23,5250.5,True
323,5.372160,809.56,855.66,5308.0,True
324,5.388792,824.10,856.79,5292.5,True
325,5.405424,838.51,858.25,5296.5,True
326,5.422056,851.07,859.04,5367.5,True
327,5.438688,863.95,860.50,5303.0,True
328,5.455320,874.65,861.71,5319.5,True
329,5.471952,885.02,862.76,5227.0,True
330,5.488584,892.93,863.62,5236.0,True
331,5.505216,899.43,864.17,5084.0,True
332,5.521848,905.11,864.62,4983.0,True
333,5.538480,909.15,864.86,4964.0,True
334,5.555112,912.20,864.96,4918.5,True
335,5.571744,914.20,865.27,4950.5,True
336,5.588376,915.89,865.05,4851.0,True
337,5.605009,916.13,864.96,4831.0,True
338,5.621641,916.05,865.10,4871.0,True
339,5.638273,916.01,865.11,4901.0,True
340,5.654905,915.99,864.83,4874.5,True
341,5.671537,915.93,864.97,4851.5,True
342,5.688169,915.93,864.92,4850.0,True
343,5.704801,915.98,865.19,4885.0,True
344,5.721433,915.94,865.05,4866.5,True
345,5.738065,915.84,865.01,4840.5,True
346,5.754697,916.06,864.91,4834.5,True
347,5.771329,915.93,864.93,4826.0,True
348,5.787961,916.00,864.91,4828.5,True
349,5.804593,915.86,864.90,4817.0,True
350,5.821225,915.83,864.86,4806.5,True
351,5.837858,916.00,864.99,4831.0,True
352,5.854490,916.50,864.73,4829.0,True
353,5.871122,916.53,864.99,4883.5,True
354,5.887754,916.63,865.06,4899.0,True
355,5.904386,916.43,865.08,4881.0,True
356,5.921018,916.40,864.95,4862.0,True
357,5.937650,916.38,864.72,4841.0,True
358,5.954282,916.33,864.98,4876.5,True
359,5.970914,915.12,864.91,4893.0,True
360,5.987546,914.99,864.95,4845.5,True
361,6.004178,914.61,865.10,4886.0,True
362,6.020810,914.36,864.98,4815.0,True
363,6.037442,912.89,865.41,4903.0,True
364,6.054075,912.58,864.99,4844.0,True
365,6.070707,910.49,865.18,4917.5,True
366,6.087339,908.40,864.93,4922.0,True
367,6.103971,905.69,864.57,4870.0,True
368,6.120603,902.59,864.15,4843.5,True
369,6.137235,899.12,863.93,4864.0,True
370,6.153867,894.55,863.83,4952.5,True
371,6.170499,888.68,863.49,5054.0,True
372,6.187131,882.46,863.19,5080.0,True
373,6.203763,875.78,862.73,5089.0,True
374,6.220395,866.35,862.05,5146.5,True
375,6.237027,856.27,861.26,5185.5,True
376,6.253659,845.84,860.46,5227.5,True
377,6.270291,834.31,859.89,5153.5,True
378,6.286924,822.10,859.09,5211.5,True
379,6.303556,809.30,858.35,5209.0,True
380,6.320188,796.38,857.57,5215.0,True
381,6.336820,782.63,856.80,5290.0,True
382,6.353452,769.65,856.17,5220.0,True
383,6.370084,757.06,855.81,5204.5,True
384,6.386716,744.04,855.28,5258.0,True
385,6.403348,731.29,854.69,5208.5,True
386,6.419980,716.78,854.21,5217.5,True
387,6.436612,702.80,853.53,5209.5,True
388,6.453244,688.31,852.78,5260.5,True
389,6.469876,672.68,852.26,5237.0,True
390,6.486508,657.82,851.53,5278.0,True
391,6.503140,642.16,850.72,5238.0,True
392,6.519773,626.15,850.27,5293.5,True
393,6.536405,611.61,849.32,5293.5,True
394,6.553037,596.62,848.52,5226.0,True
395,6.569669,582.72,847.64,5242.5,True
396,6.586301,569.45,846.83,5182.0,True
397,6.602933,557.36,846.42,5199.0,True
398,6.619565,545.26,845.93,5157.0,True
399,6.636197,533.65,845.64,5208.5,True
400,6.652829,523.86,845.00,5207.5,True
401,6.669461,513.54,844.51,5221.0,True
402,6.686093,503.56,844.26,5256.5,True
403,6.702725,493.92,844.25,5237.5,True
404,6.719357,483.90,844.29,5266.5,True
405,6.735989,474.43,843.64,5197.5,True
406,6.752622,465.38,843.58,5283.0,True
407,6.769254,455.37,843.14,5156.5,True
408,6.785886,445.41,843.42,5233.5,True
409,6.802518,434.51,843.37,5232.5,True
410,6.819150,422.56,843.68,5237.5,True
411,6.835782,410.13,844.07,5260.0,True
412,6.852414,396.47,844.87,5331.0,True
413,6.869046,381.30,845.69,5295.5,True
414,6.885678,367.08,846.57,5251.0,True
415,6.902310,352.65,847.68,5344.5,True
416,6.918942,338.65,848.69,5387.5,True
417,6.935574,324.77,849.44,5375.0,True
418,6.952206,310.65,850.11,5273.0,True
419,6.968839,297.57,850.97,5274.0,True
420,6.985471,287.82,851.36,5312.5,True
421,7.002103,277.09,851.73,5277.0,True
422,7.018735,268.69,851.48,5295.0,True
423,7.035367,261.73,851.21,5338.5,True
424,7.051999,254.31,850.91,5275.0,True
425,7.068631,247.11,850.58,5315.5,True
426,7.085263,239.20,850.14,5279.0,True
427,7.101895,231.33,850.49,5373.5,True
428,7.118527,224.03,850.35,5401.0,True
429,7.135159,215.82,850.31,5328.5,True
430,7.151791,207.42,850.84,5358.0,True
431,7.168423,200.38,851.32,5392.0,True
432,7.185055,192.98,852.23,5332.0,True
433,7.201688,186.46,853.26,5362.0,True
434,7.218320,180.71,854.21,5343.0,True
435,7.234952,175.36,854.89,5326.5,True
