frame,time_s,x_px,y_px,area_px,detected
0,0.000000,1441.42,117.04,182215.5,True
1,0.016632,1439.69,116.42,181406.0,True
2,0.033263,1437.60,116.06,180891.0,True
3,0.049895,1435.29,115.66,180448.5,True
4,0.066526,1433.64,114.80,179471.0,True
5,0.083158,1429.33,113.71,178269.0,True
6,0.099789,1424.76,112.99,177751.0,True
7,0.116421,1420.31,112.16,176610.5,True
8,0.133052,1413.15,111.24,175129.5,True
9,0.149684,1405.24,109.77,173077.5,True
10,0.166315,1395.98,107.77,169695.0,True
11,0.182947,1383.92,105.24,165726.5,True
12,0.199578,1369.67,102.38,160702.5,True
13,0.216210,1354.35,99.44,154932.0,True
14,0.232841,1336.95,97.15,149391.0,True
15,0.249473,1318.41,95.26,144005.0,True
16,0.266104,1298.80,93.96,138561.5,True
17,0.282736,1277.34,93.28,133134.5,True
18,0.299367,1254.55,93.43,127613.0,True
19,0.315999,1233.63,93.59,122069.0,True
20,0.332630,1216.64,93.32,117622.0,True
21,0.349262,1204.01,92.54,113656.0,True
22,0.365893,1193.66,91.99,110588.0,True
23,0.382525,1185.27,92.01,108324.0,True
24,0.399157,1179.01,92.34,106484.0,True
25,0.415788,1173.83,93.19,105529.5,True
26,0.432420,1169.78,94.09,104778.5,True
27,0.449051,1167.48,94.61,103718.5,True
28,0.465683,1165.18,95.23,103209.5,True
29,0.482314,1163.95,96.21,102918.0,True
30,0.498946,1163.15,98.13,103919.5,True
31,0.515577,1163.33,100.12,105088.5,True
32,0.532209,1164.72,102.21,106314.5,True
33,0.548840,1167.43,104.16,107775.5,True
34,0.565472,1170.59,107.18,110251.5,True
35,0.582103,1175.27,111.13,113804.5,True
36,0.598735,1181.65,115.04,117410.5,True
37,0.615366,1187.97,119.08,121416.0,True
38,0.631998,1194.54,122.49,125159.5,True
39,0.648629,1200.70,125.39,128726.0,True
40,0.665261,1207.43,127.41,131192.5,True
41,0.681892,1214.38,128.57,132536.0,True
42,0.698524,1220.36,128.79,132881.0,True
43,0.715155,1225.66,128.61,132271.5,True
44,0.731787,1230.87,128.27,131508.0,True
45,0.748418,1234.32,128.94,131386.5,True
46,0.765050,1238.86,127.55,129609.0,True
47,0.781682,1242.48,127.06,128915.5,True
48,0.798313,1245.58,126.82,129002.5,True
49,0.814945,1248.34,127.59,130270.0,True
50,0.831576,1251.75,128.21,131729.5,True
51,0.848208,1254.41,129.33,133717.5,True
52,0.864839,1256.93,130.64,135809.5,True
53,0.881471,1259.61,131.86,138021.5,True
54,0.898102,1263.15,132.87,140500.0,True
55,0.914734,1267.19,134.50,143699.0,True
56,0.931365,1271.80,136.35,147171.0,True
57,0.947997,1276.85,138.27,149921.0,True
58,0.964628,1281.70,139.90,153376.0,True
59,0.981260,1286.95,141.47,156143.0,True
