frame,time_s,s_px,ds_px,ds_mm,area_px,detected,valid
0,0.000000,1080.399,4.335,0.7530,4783.0,True,True
1,0.016632,1075.768,-0.296,-0.0515,4459.0,True,True
2,0.033264,1075.493,-0.571,-0.0992,4572.0,True,True
3,0.049896,1075.395,-0.669,-0.1162,4536.5,True,True
4,0.066528,1075.654,-0.410,-0.0711,4453.5,True,True
5,0.083160,1075.409,-0.655,-0.1138,4611.5,True,True
6,0.099792,1075.947,-0.117,-0.0203,4480.0,True,True
7,0.116424,1075.912,-0.151,-0.0263,4667.5,True,True
8,0.133056,1076.648,0.585,0.1016,4561.5,True,True
9,0.149688,1076.925,0.861,0.1496,4653.5,True,True
10,0.166320,1077.493,1.429,0.2482,4535.0,True,True
11,0.182952,1077.254,1.190,0.2068,4558.0,True,True
12,0.199584,1076.906,0.842,0.1462,4548.5,True,True
13,0.216216,1076.884,0.820,0.1425,4534.0,True,True
14,0.232848,1075.652,-0.412,-0.0716,4546.5,True,True
15,0.249480,1074.814,-1.249,-0.2170,4554.0,True,True
16,0.266112,1075.490,-0.574,-0.0997,4504.5,True,True
17,0.282744,1075.112,-0.952,-0.1654,4649.5,True,True
18,0.299376,1075.616,-0.448,-0.0778,4505.0,True,True
19,0.316008,1075.153,-0.911,-0.1582,4573.5,True,True
20,0.332640,1075.573,-0.491,-0.0853,4558.5,True,True
21,0.349272,1076.096,0.032,0.0055,4494.0,True,True
22,0.365904,1075.923,-0.141,-0.0245,4595.5,True,True
23,0.382536,1076.190,0.126,0.0219,4477.0,True,True
24,0.399168,1075.787,-0.277,-0.0481,4578.0,True,True
25,0.415800,1076.012,-0.052,-0.0090,4506.5,True,True
26,0.432432,1075.926,-0.138,-0.0240,4516.0,True,True
27,0.449064,1075.718,-0.346,-0.0600,4477.5,True,True
28,0.465696,1075.677,-0.387,-0.0672,4454.5,True,True
29,0.482328,1075.544,-0.520,-0.0903,4480.5,True,True
30,0.498960,1075.610,-0.453,-0.0788,4531.5,True,True
31,0.515592,1075.811,-0.253,-0.0439,4511.5,True,True
32,0.532224,1075.948,-0.116,-0.0201,4527.5,True,True
33,0.548856,1075.752,-0.312,-0.0541,4510.0,True,True
34,0.565488,1076.108,0.045,0.0078,4444.5,True,True
35,0.582120,1076.068,0.004,0.0007,4418.0,True,True
36,0.598752,1076.018,-0.046,-0.0079,4436.0,True,True
37,0.615384,1075.821,-0.243,-0.0422,4511.0,True,True
38,0.632016,1075.918,-0.146,-0.0254,4518.0,True,True
39,0.648648,1075.841,-0.222,-0.0386,4425.0,True,True
40,0.665280,1076.051,-0.012,-0.0021,4477.0,True,True
41,0.681912,1076.125,0.062,0.0107,4417.0,True,True
42,0.698544,1075.956,-0.108,-0.0187,4417.5,True,True
43,0.715176,1075.847,-0.217,-0.0377,4457.0,True,True
44,0.731808,1076.756,0.692,0.1202,4458.0,True,True
45,0.748440,1076.884,0.820,0.1425,4434.5,True,True
46,0.765072,1076.968,0.904,0.1571,4502.5,True,True
47,0.781704,1076.953,0.889,0.1544,4405.5,True,True
48,0.798336,1076.831,0.767,0.1333,4430.0,True,True
49,0.814968,1076.182,0.118,0.0205,4482.0,True,True
50,0.831600,1075.927,-0.136,-0.0237,4423.5,True,True
51,0.848232,1075.697,-0.366,-0.0636,4435.0,True,True
52,0.864864,,,,12439.0,True,False
53,0.881496,,,,27492.5,True,False
54,0.898128,,,,42937.0,True,False
55,0.914760,,,,58830.0,True,False
56,0.931392,,,,69088.0,True,False
57,0.948024,,,,83320.0,True,False
58,0.964656,,,,107503.0,True,False
59,0.981288,,,,105174.0,True,False
60,0.997920,,,,137437.5,True,False
61,1.014552,,,,131110.5,True,False
62,1.031184,,,,143424.0,True,False
63,1.047816,,,,147886.5,True,False
64,1.064448,,,,153740.5,True,False
65,1.081080,,,,162338.0,True,False
66,1.097712,,,,159033.0,True,False
67,1.114345,,,,159434.5,True,False
68,1.130977,,,,157829.0,True,False
69,1.147609,,,,154709.0,True,False
70,1.164241,,,,149537.0,True,False
71,1.180873,,,,165048.0,True,False
72,1.197505,,,,149679.5,True,False
73,1.214137,,,,149030.5,True,False
74,1.230769,,,,139928.5,True,False
75,1.247401,,,,139697.0,True,False
76,1.264033,,,,139675.5,True,False
77,1.280665,,,,137654.5,True,False
78,1.297297,,,,151228.0,True,False
79,1.313929,,,,151619.0,True,False
80,1.330561,,,,151623.0,True,False
81,1.347193,,,,151530.5,True,False
82,1.363825,,,,154503.5,True,False
83,1.380457,,,,152807.0,True,False
84,1.397089,,,,182224.0,True,False
85,1.413721,,,,181303.5,True,False
86,1.430353,,,,186132.5,True,False
87,1.446985,,,,181806.0,True,False
88,1.463617,,,,179759.0,True,False
89,1.480249,,,,167227.0,True,False
90,1.496881,,,,169296.5,True,False
91,1.513513,,,,171888.0,True,False
92,1.530145,,,,178343.0,True,False
93,1.546777,,,,166928.5,True,False
94,1.563409,,,,167137.5,True,False
95,1.580041,,,,166204.0,True,False
96,1.596673,,,,165363.5,True,False
97,1.613305,,,,165872.5,True,False
98,1.629937,,,,164663.0,True,False
99,1.646569,,,,165189.5,True,False
100,1.663201,,,,181696.0,True,False
101,1.679833,,,,160362.0,True,False
102,1.696465,,,,161046.0,True,False
103,1.713097,,,,159456.5,True,False
104,1.729729,,,,156707.0,True,False
105,1.746361,,,,159260.5,True,False
106,1.762993,,,,171382.5,True,False
107,1.779625,,,,173358.0,True,False
108,1.796257,,,,168658.0,True,False
109,1.812889,,,,171327.5,True,False
110,1.829521,,,,193387.0,True,False
111,1.846153,,,,170534.0,True,False
112,1.862785,,,,171102.5,True,False
113,1.879417,,,,187367.0,True,False
114,1.896049,,,,163310.0,True,False
115,1.912681,,,,161812.5,True,False
116,1.929313,,,,150798.5,True,False
117,1.945945,,,,150524.0,True,False
118,1.962577,,,,149372.0,True,False
119,1.979209,,,,148354.0,True,False
120,1.995841,,,,175799.0,True,False
121,2.012473,,,,156430.5,True,False
122,2.029105,,,,155833.0,True,False
123,2.045737,,,,173717.5,True,False
124,2.062369,,,,173205.5,True,False
125,2.079001,,,,172265.0,True,False
126,2.095633,,,,172290.5,True,False
127,2.112265,,,,169542.5,True,False
128,2.128897,,,,168584.0,True,False
129,2.145529,,,,151932.5,True,False
130,2.162161,,,,169419.5,True,False
131,2.178793,,,,168874.0,True,False
132,2.195425,,,,151197.5,True,False
133,2.212057,,,,151071.5,True,False
134,2.228689,,,,152175.0,True,False
135,2.245321,,,,140692.5,True,False
136,2.261953,,,,138957.5,True,False
137,2.278585,,,,139106.5,True,False
138,2.295217,,,,139177.5,True,False
139,2.311849,,,,150718.5,True,False
140,2.328481,,,,169257.5,True,False
141,2.345113,,,,170179.5,True,False
142,2.361745,,,,158866.0,True,False
143,2.378377,,,,159982.5,True,False
144,2.395009,,,,160099.0,True,False
145,2.411641,,,,157301.5,True,False
146,2.428273,,,,167728.0,True,False
147,2.444905,,,,153777.0,True,False
148,2.461537,,,,165206.5,True,False
149,2.478169,,,,167892.0,True,False
150,2.494801,,,,168757.0,True,False
151,2.511433,,,,167839.0,True,False
152,2.528065,,,,167704.0,True,False
153,2.544697,,,,167299.0,True,False
154,2.561329,,,,170260.0,True,False
155,2.577961,,,,171885.5,True,False
156,2.594593,,,,172057.5,True,False
157,2.611225,,,,172192.0,True,False
158,2.627857,,,,174713.0,True,False
159,2.644489,,,,163387.0,True,False
160,2.661121,,,,146494.5,True,False
161,2.677753,,,,147437.0,True,False
162,2.694385,,,,167247.5,True,False
163,2.711017,,,,176525.5,True,False
164,2.727649,,,,175684.5,True,False
165,2.744281,,,,175488.0,True,False
166,2.760913,,,,150078.0,True,False
167,2.777545,,,,150163.5,True,False
168,2.794177,,,,169437.0,True,False
169,2.810809,,,,168765.0,True,False
170,2.827441,,,,178246.0,True,False
171,2.844073,,,,177768.0,True,False
172,2.860705,,,,179685.5,True,False
173,2.877337,,,,181443.5,True,False
174,2.893969,,,,172467.5,True,False
175,2.910601,,,,180790.0,True,False
176,2.927233,,,,182691.0,True,False
177,2.943865,,,,172392.5,True,False
178,2.960497,,,,171430.0,True,False
179,2.977129,,,,173619.0,True,False
180,2.993761,,,,182137.0,True,False
181,3.010393,,,,181721.0,True,False
182,3.027025,,,,182258.5,True,False
183,3.043657,,,,181880.0,True,False
184,3.060289,,,,181695.0,True,False
185,3.076921,,,,180952.0,True,False
186,3.093553,,,,180091.0,True,False
187,3.110185,,,,181360.5,True,False
188,3.126817,,,,182982.0,True,False
189,3.143449,,,,183939.0,True,False
190,3.160081,,,,183086.5,True,False
191,3.176713,,,,169194.0,True,False
192,3.193345,,,,184835.0,True,False
193,3.209977,,,,183968.5,True,False
194,3.226609,,,,183176.0,True,False
195,3.243241,,,,181660.5,True,False
196,3.259873,,,,181895.0,True,False
197,3.276505,,,,179953.5,True,False
198,3.293137,,,,180812.5,True,False
199,3.309769,,,,181620.0,True,False
200,3.326401,,,,182489.0,True,False
201,3.343034,,,,177184.5,True,False
202,3.359666,,,,177852.0,True,False
203,3.376298,,,,180121.5,True,False
204,3.392930,,,,180664.0,True,False
205,3.409562,,,,180133.0,True,False
206,3.426194,,,,181281.0,True,False
207,3.442826,,,,179381.5,True,False
208,3.459458,,,,177961.0,True,False
209,3.476090,,,,176906.5,True,False
210,3.492722,,,,176250.5,True,False
