frame,time_s,s_px,ds_px,ds_mm,area_px,detected,valid
0,0.000000,851.987,-3.215,-0.5283,5713.0,True,True
1,0.016632,855.989,0.786,0.1291,5368.0,True,True
2,0.033264,856.241,1.039,0.1707,5377.5,True,True
3,0.049896,856.523,1.320,0.2169,5356.5,True,True
4,0.066528,856.805,1.603,0.2633,5402.5,True,True
5,0.083160,856.415,1.212,0.1992,5390.0,True,True
6,0.099792,856.032,0.829,0.1363,5350.0,True,True
7,0.116424,855.830,0.627,0.1031,5379.0,True,True
8,0.133056,855.768,0.565,0.0929,5385.0,True,True
9,0.149688,855.566,0.363,0.0596,5396.5,True,True
10,0.166320,855.373,0.171,0.0280,5346.0,True,True
11,0.182952,855.262,0.060,0.0098,5340.0,True,True
12,0.199584,855.322,0.120,0.0197,5338.0,True,True
13,0.216216,855.453,0.251,0.0412,5356.5,True,True
14,0.232848,855.675,0.473,0.0777,5351.0,True,True
15,0.249480,855.828,0.625,0.1027,5346.5,True,True
16,0.266112,855.889,0.686,0.1128,5307.0,True,True
17,0.282745,855.881,0.678,0.1114,5348.5,True,True
18,0.299377,855.811,0.608,0.0999,5344.0,True,True
19,0.316009,855.980,0.778,0.1277,5297.0,True,True
20,0.332641,855.788,0.586,0.0963,5309.0,True,True
21,0.349273,855.466,0.263,0.0433,5320.0,True,True
22,0.365905,855.124,-0.078,-0.0129,5354.5,True,True
23,0.382537,855.063,-0.140,-0.0230,5338.0,True,True
24,0.399169,855.152,-0.051,-0.0084,5317.5,True,True
25,0.415801,855.172,-0.031,-0.0051,5307.0,True,True
26,0.432433,855.242,0.039,0.0064,5329.0,True,True
27,0.449065,855.133,-0.070,-0.0114,5307.5,True,True
28,0.465697,855.205,0.002,0.0004,5331.5,True,True
29,0.482329,855.517,0.315,0.0517,5336.0,True,True
30,0.498961,855.589,0.386,0.0634,5343.5,True,True
31,0.515593,855.638,0.436,0.0716,5332.0,True,True
32,0.532225,855.527,0.325,0.0534,5340.0,True,True
33,0.548857,855.486,0.284,0.0466,5293.0,True,True
34,0.565489,855.115,-0.088,-0.0144,5312.0,True,True
