frame,time_s,x_px,y_px,area_px,detected
0,0.000000,852.81,208.63,5713.0,True
1,0.016632,856.85,218.47,5368.0,True
2,0.033264,857.10,217.79,5377.5,True
3,0.049896,857.38,217.45,5356.5,True
4,0.066528,857.66,216.74,5402.5,True
5,0.083160,857.27,216.86,5390.0,True
6,0.099792,856.89,217.61,5350.0,True
7,0.116424,856.69,218.10,5379.0,True
8,0.133056,856.63,218.70,5385.0,True
9,0.149688,856.43,219.25,5396.5,True
10,0.166320,856.24,219.85,5346.0,True
11,0.182952,856.13,220.07,5340.0,True
12,0.199584,856.19,220.10,5338.0,True
13,0.216216,856.32,219.81,5356.5,True
14,0.232848,856.54,219.31,5351.0,True
15,0.249480,856.69,218.66,5346.5,True
16,0.266112,856.75,218.37,5307.0,True
17,0.282745,856.74,217.91,5348.5,True
18,0.299377,856.67,217.91,5344.0,True
19,0.316009,856.84,218.09,5297.0,True
20,0.332641,856.65,218.50,5309.0,True
21,0.349273,856.33,219.16,5320.0,True
22,0.365905,855.99,219.62,5354.5,True
23,0.382537,855.93,220.01,5338.0,True
24,0.399169,856.02,220.27,5317.5,True
25,0.415801,856.04,220.25,5307.0,True
26,0.432433,856.11,220.26,5329.0,True
27,0.449065,856.00,219.89,5307.5,True
28,0.465697,856.07,219.40,5331.5,True
29,0.482329,856.38,218.81,5336.0,True
30,0.498961,856.45,218.44,5343.5,True
31,0.515593,856.50,218.55,5332.0,True
32,0.532225,856.39,218.76,5340.0,True
33,0.548857,856.35,219.05,5293.0,True
34,0.565489,855.98,219.46,5312.0,True
35,0.582121,855.98,219.62,5293.0,True
36,0.598753,856.03,219.93,5298.5,True
37,0.615385,856.08,220.18,5330.0,True
38,0.632017,856.02,220.38,5321.0,True
39,0.648649,856.10,220.50,5305.0,True
40,0.665281,856.00,220.22,5334.0,True
41,0.681913,855.95,219.67,5363.5,True
42,0.698545,856.08,219.41,5354.5,True
43,0.715177,856.10,218.95,5359.0,True
44,0.731809,856.11,218.65,5368.0,True
45,0.748441,856.19,218.17,5358.5,True
46,0.765073,856.21,218.58,5327.5,True
47,0.781705,856.24,219.00,5321.0,True
48,0.798337,856.23,219.50,5315.0,True
49,0.814970,856.12,219.83,5313.0,True
50,0.831602,856.01,220.06,5349.5,True
51,0.848234,855.73,220.10,5293.0,True
52,0.864866,855.65,220.17,5302.0,True
53,0.881498,855.75,219.98,5349.5,True
54,0.898130,855.91,219.56,5375.0,True
55,0.914762,855.76,219.51,5351.5,True
56,0.931394,856.20,219.29,5361.0,True
57,0.948026,856.30,219.12,5341.5,True
58,0.964658,856.34,219.14,5352.0,True
59,0.981290,856.37,219.06,5358.5,True
60,0.997922,856.32,218.91,5322.0,True
61,1.014554,856.04,218.80,5315.5,True
62,1.031186,855.77,219.10,5304.5,True
63,1.047818,855.68,219.54,5312.0,True
64,1.064450,855.79,220.00,5335.5,True
65,1.081082,855.69,220.36,5343.0,True
66,1.097714,855.82,220.45,5331.0,True
