frame,time_s,detected,x_px,y0_px,bbox_w_px,bbox_h_px,area_px
76,2.533333,True,724.00,514.00,57,4,226
77,2.566667,True,725.00,508.00,57,5,280
78,2.600000,True,726.00,511.00,57,5,259
79,2.633333,True,726.50,523.00,56,6,307
80,2.666667,True,726.50,541.00,56,7,357
81,2.700000,True,726.50,562.00,56,8,418
82,2.733333,True,727.00,583.00,55,9,464
83,2.766667,True,726.50,602.00,56,9,486
84,2.800000,True,726.00,615.00,57,10,539
85,2.833333,True,724.00,622.00,59,10,551
86,2.866667,True,724.00,618.00,59,12,613
87,2.900000,True,724.00,609.00,55,10,538
88,2.933333,True,723.00,593.00,55,10,537
89,2.966667,True,722.00,573.00,55,10,525
90,3.000000,True,721.50,552.00,56,10,529
91,3.033333,True,721.00,533.00,57,9,482
92,3.066667,True,720.50,520.00,56,7,372
93,3.100000,True,720.00,512.00,57,6,325
94,3.133333,True,719.50,513.00,56,5,279
95,3.166667,True,719.50,522.00,56,5,273
96,3.200000,True,718.50,538.00,56,5,252
97,3.233333,True,718.50,558.00,56,6,307
98,3.266667,True,719.00,579.00,57,6,326
99,3.300000,True,719.00,598.00,57,7,382
100,3.333333,True,720.50,612.00,58,8,442
101,3.366667,True,721.00,620.00,57,7,392
102,3.400000,True,722.00,619.00,57,8,446
103,3.433333,True,722.00,611.00,59,9,478
104,3.466667,True,724.00,597.00,57,9,473
105,3.500000,True,725.50,578.00,56,8,427
106,3.533333,True,726.50,558.00,56,8,413
107,3.566667,True,727.00,540.00,57,8,419
108,3.600000,True,727.00,525.00,59,9,471
109,3.633333,True,728.00,517.00,57,9,480
110,3.666667,True,728.00,516.00,57,9,490
111,3.700000,True,728.00,522.00,55,9,489
112,3.733333,True,727.00,534.00,55,9,475
113,3.766667,True,726.50,551.00,56,10,534
114,3.800000,True,726.00,571.00,55,9,479
115,3.833333,True,725.00,589.00,55,10,524
116,3.866667,True,723.50,604.00,56,10,545
117,3.900000,True,721.00,614.00,59,11,577
118,3.933333,True,720.50,616.00,58,10,534
119,3.966667,True,720.00,611.00,57,10,538
120,4.000000,True,719.50,599.00,56,9,490
121,4.033333,True,719.00,583.00,57,8,421
122,4.066667,True,719.00,563.00,57,8,416
123,4.100000,True,719.50,544.00,56,7,350
124,4.133333,True,719.50,529.00,56,6,293
125,4.166667,True,720.00,519.00,57,5,246
126,4.200000,True,720.50,515.00,56,6,289
127,4.233333,True,721.00,520.00,57,5,250
128,4.266667,True,721.50,531.00,56,6,295
129,4.300000,True,723.00,548.00,57,8,401
130,4.333333,True,723.00,567.00,57,8,408
131,4.366667,True,723.50,586.00,56,7,371
132,4.400000,True,724.50,600.00,56,9,460
133,4.433333,True,725.00,610.00,57,10,518
134,4.466667,True,724.50,615.00,58,11,557
135,4.500000,True,725.50,610.00,56,12,594
136,4.533333,True,726.00,600.00,55,10,509
137,4.566667,True,726.00,585.00,55,10,508
138,4.600000,True,726.00,568.00,55,9,481
139,4.633333,True,726.00,550.00,55,9,477
140,4.666667,True,725.00,535.00,55,9,476
141,4.700000,True,724.50,524.00,56,10,522
142,4.733333,True,724.50,520.00,56,10,520
143,4.766667,True,723.50,521.00,56,11,564
144,4.800000,True,722.50,530.00,56,10,518
145,4.833333,True,722.50,544.00,56,9,462
146,4.866667,True,721.50,561.00,56,9,457
147,4.900000,True,720.50,579.00,56,9,442
148,4.933333,True,720.50,596.00,56,9,460
149,4.966667,True,720.50,608.00,56,9,476
150,5.000000,True,720.00,613.00,57,10,536
151,5.033333,True,720.50,612.00,58,10,524
152,5.066667,True,721.00,604.00,57,9,471
153,5.100000,True,722.00,590.00,57,10,496
154,5.133333,True,722.50,573.00,56,9,452
155,5.166667,True,723.50,555.00,56,10,494
156,5.200000,True,724.00,540.00,57,9,451
157,5.233333,True,725.00,527.00,57,10,517
158,5.266667,True,725.50,521.00,56,9,486
159,5.300000,True,726.50,522.00,56,9,482
160,5.333333,True,726.50,529.00,56,9,469
161,5.366667,True,726.50,542.00,56,9,454
162,5.400000,True,726.00,557.00,55,10,501
163,5.433333,True,726.00,574.00,55,10,507
164,5.466667,True,726.00,590.00,55,10,512
165,5.500000,True,725.00,602.00,55,11,565
166,5.533333,True,724.50,610.00,56,11,558
167,5.566667,True,723.50,610.00,56,12,592
168,5.600000,True,723.50,603.00,56,11,564
169,5.633333,True,722.50,592.00,56,10,510
170,5.666667,True,721.50,577.00,56,9,459
171,5.700000,True,721.50,560.00,56,9,457
172,5.733333,True,721.00,544.00,57,9,458
173,5.766667,True,721.00,531.00,57,10,510
174,5.800000,True,721.00,524.00,57,10,526
175,5.833333,True,721.00,522.00,57,10,534
176,5.866667,True,721.00,528.00,57,10,537
177,5.900000,True,721.00,539.00,57,11,568
178,5.933333,True,721.00,554.00,57,10,530
179,5.966667,True,721.00,571.00,57,9,465
180,6.000000,True,721.50,587.00,56,8,415
181,6.033333,True,722.00,600.00,57,9,462
182,6.066667,True,723.00,607.00,57,10,514
183,6.100000,True,723.50,609.00,56,12,592
184,6.133333,True,723.50,604.00,56,12,595
185,6.166667,True,725.00,594.00,55,11,562
186,6.200000,True,725.00,580.00,55,11,551
187,6.233333,True,726.00,564.00,55,11,551
188,6.266667,True,726.00,549.00,55,11,552
189,6.300000,True,726.00,536.00,55,11,563
190,6.333333,True,726.00,528.00,55,12,612
191,6.366667,True,726.00,526.00,55,11,568
192,6.400000,True,725.50,528.00,56,13,645
193,6.433333,True,725.00,537.00,55,12,611
194,6.466667,True,724.00,550.00,55,12,597
195,6.500000,True,724.00,565.00,55,12,595
196,6.533333,True,723.50,581.00,56,11,561
197,6.566667,True,722.50,594.00,56,12,607
198,6.600000,True,721.50,603.00,56,12,615
199,6.633333,True,721.50,607.00,56,12,613
200,6.666667,True,721.00,605.00,57,11,554
201,6.700000,True,721.00,596.00,57,11,541
202,6.733333,True,720.50,584.00,56,9,466
203,6.766667,True,721.00,569.00,57,8,426
204,6.800000,True,722.00,553.00,57,11,569
205,6.833333,True,722.00,540.00,57,10,550
206,6.866667,True,722.50,530.00,58,9,491
207,6.900000,True,723.00,525.00,57,10,522
208,6.933333,True,723.00,527.00,57,10,532
209,6.966667,True,724.00,535.00,57,10,524
210,7.000000,True,723.50,547.00,56,10,504
211,7.033333,True,724.00,562.00,55,10,509
212,7.066667,True,724.50,577.00,56,11,548
213,7.100000,True,724.50,591.00,56,11,562
214,7.133333,True,724.50,600.00,56,13,646
215,7.166667,True,724.50,605.00,56,13,655
216,7.200000,True,725.00,604.00,55,12,614
217,7.233333,True,724.50,596.00,56,13,658
218,7.266667,True,724.00,586.00,55,12,615
219,7.300000,True,724.00,572.00,55,12,606
220,7.333333,True,724.00,558.00,55,11,564
221,7.366667,True,723.50,544.00,56,11,568
222,7.400000,True,723.50,534.00,56,11,570
223,7.433333,True,723.00,529.00,55,11,562
224,7.466667,True,722.50,529.00,56,12,603
225,7.500000,True,722.50,534.00,56,11,557
226,7.533333,True,722.00,545.00,57,9,472
227,7.566667,True,721.50,558.00,56,10,506
228,7.600000,True,721.50,574.00,56,9,470
229,7.633333,True,721.50,587.00,56,11,546
230,7.666667,True,721.50,598.00,56,10,520
231,7.700000,True,721.50,604.00,56,8,444
232,7.733333,True,722.00,604.00,57,9,486
233,7.766667,True,722.50,599.00,56,11,553
234,7.800000,True,722.50,589.00,56,10,518
235,7.833333,True,723.50,576.00,56,10,499
